MoundID,Name,Period,Municipality,Region,Lat,Long,GraveNo,Enclosure Type,LaborAssessment,Burial No,Extra skeletal remains?,Notes on burial,Assemblage?,AnimalRemains,Lithics,HMPottery,Storage,FineVessels,DrinkingCups,Jewellery,Weapons,SpecialFinds,Imports,Grave Rank symbols,StartDate,Enddate,Chronology rating
1002.0,Mound 5,Transitional period,Radnevo/ Beli Bryag,Stara Zagora,42.236726,25.957091,1.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),1.0,N,,N,,,,,,,,,,,0 - No symbols of status present,-3500.0,-3000.0,1 - rough estimate by author on basis of the assemblage
1002.0,Mound 5,Transitional period,Radnevo/ Beli Bryag,Stara Zagora,42.236726,25.957091,1.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),2.0,N,,N,,,,,,,,,,,0 - No symbols of status present,-3500.0,-3000.0,1 - rough estimate by author on basis of the assemblage
1002.0,Mound 5,Transitional period,Radnevo/ Beli Bryag,Stara Zagora,42.236726,25.957091,2.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),1.0,N,,N,,,,,,,,,,,0 - No symbols of status present,-3500.0,-3000.0,1 - rough estimate by author on basis of the assemblage
1002.0,Mound 5,Transitional period,Radnevo/ Beli Bryag,Stara Zagora,42.236726,25.957091,2.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),2.0,N,,N,,,,,,,,,,,0 - No symbols of status present,-3500.0,-3000.0,1 - rough estimate by author on basis of the assemblage
1003.0,No name,Transitional period,Straldzha,Yambol,42.593881,26.750341,1.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),1.0,N,Main Burial (earlier),Y,,Y (2),,,,,2(silver spirals),,red ochre,,"1 - One or two status symbols (ochre, personal jewellery)",-3500.0,-3000.0,3 - a number of burial aspects consulted and crossreferenced to formulate a date
1003.0,No name,Transitional period,Straldzha,Yambol,42.593881,26.750341,2.0,Simple pit,no elaboration (eg.a pit or no indistinct enclosure in PH or LIA period),1.0,N,secondary burial,N,,,,,,,,,,,0 - No symbols of status present,-3500.0,-3000.0,3 - a number of burial aspects consulted and crossreferenced to formulate a date
1004.0,Kral Mezar,Roman period,Elhovo,Yambol,42.10132,26.646779,1.0,sarcophagos,"major elaboration (ashlar /cist /stone lined grave, brick tomb in RM, rockcut PH tomb, combination of any of the above)",1.0,N,sarchofagos placed in a pit dug into the mound; looted,Y,N,N,N,N,Y (fragments of glass and ceramic vessels),Alabaster kantharos,bronze belt buckle; fragments of silver applications; bronze strigila; bone pins,,fragments of bronze Kandelaber,,"1 - One or two status symbols (ochre, personal jewellery)",150.0,200.0,3 - a number of burial aspects consulted and crossreferenced to formulate a date
1004.0,Kral Mezar,Roman period,Elhovo,Yambol,42.10132,26.646779,2.0,Tomb of brick or stone,"some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period)",1.0,N,tomb is build into a pit(not covered by the mound); The interior of the tomb was painted with murals (geometric and floral patterns),Y,N,N,N,N,bowl,(1) cup,glass beads,no,bone spindles and pins; fragments of glass vessels - Unguentarium and cups; remains of shoe pair,?,"1 - One or two status symbols (ochre, personal jewellery)",200.0,225.0,"4 - C14 dates acquired, or other scientific evidence"
1004.0,Kral Mezar,Roman period,Elhovo,Yambol,42.10132,26.646779,3.0,tiled grave,"some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period)",1.0,N,burial pit dug into the mound,Y,N,N,N,N,,,,,Anthropomorphic bronze unguentarium; bronze strigila; two pairs of shoes; fine glass vessel,?,"1 - One or two status symbols (ochre, personal jewellery)",200.0,250.0,"4 - C14 dates acquired, or other scientific evidence"
1005.0,Golyamata mogila,Roman period,Parvomay,Plovdiv,42.101276,25.128898,1.0,simple pit,"some elaboration (marks of a coffin, small stone circle, tiled or stone lined grave of RM period)",1.0,N,secondary burial dug nto the mound,N,N,N,N,N,,,,,,,0 - No symbols of status present,200.0,400.0,1 - rough estimate by author on basis of the assemblage
